Date,nvda,amd,nflx,ibm,meta,crm,avgo,vz,msft,orcl,googl,lly,axp,adbe,bk,cost,c,intu,mrk,acn
2024-01-02,48.15766525268555,138.5800018310547,468.5,157.09385681152344,345.25048828125,254.99798583984375,107.3824462890625,36.4510612487793,368.8540954589844,102.8028335571289,137.82870483398438,589.3344116210938,186.08189392089844,580.0700073242188,51.21379852294922,647.731689453125,51.589683532714844,600.1722412109375,111.1136474609375,341.4313659667969
2024-01-03,47.55879592895508,135.32000732421875,470.260009765625,155.7320556640625,343.4359436035156,250.7269287109375,104.7309799194336,36.713565826416016,368.5855712890625,101.22215270996094,138.5768585205078,614.7109985351562,184.1154327392578,571.7899780273438,50.64671325683594,641.7984008789062,52.173274993896484,587.6272583007812,112.61492156982422,332.5737609863281
2024-01-04,47.98770523071289,136.00999450683594,474.6700134277344,156.4713134765625,346.0780029296875,250.1295928955078,103.78416442871094,36.91044616699219,365.94000244140625,101.3505859375,136.0531005859375,611.5264892578125,185.5231475830078,567.0499877929688,50.85203552246094,645.4419555664062,52.299720764160156,583.3328857421875,114.81285858154297,331.7568664550781
2024-01-05,49.086463928222656,138.5800018310547,474.05999755859375,154.81771850585938,350.8935241699219,250.01011657714844,103.81088256835938,37.68859100341797,365.75103759765625,101.48889923095703,135.39474487304688,615.556884765625,187.4265594482422,564.5999755859375,51.22357940673828,653.067626953125,52.84440994262695,585.5198364257812,115.01891326904297,331.2943115234375
2024-01-08,52.24178695678711,146.17999267578125,485.0299987792969,156.74368286132812,357.5833740234375,259.7170104980469,106.34066009521484,37.59484100341797,372.6533508300781,103.39558410644531,138.49705505371094,623.000732421875,187.57528686523438,580.5499877929688,51.526676177978516,658.7221069335938,52.53315734863281,594.82421875,115.1759033203125,334.96527099609375
2024-01-09,53.12860107421875,149.25999450683594,482.0899963378906,155.71261596679688,356.3570251464844,260.1849670410156,107.09652709960938,37.2182731628418,373.74737548828125,102.37802124023438,140.6018524169922,622.453369140625,185.1563720703125,586.2000122070312,51.77111053466797,664.1875,52.01764678955078,602.489990234375,116.20619201660156,337.32733154296875
2024-01-10,54.33833694458008,148.5399932861328,478.3299865722656,156.8312225341797,369.35791015625,262.9626159667969,106.90656280517578,37.25640869140625,380.68939208984375,103.06232452392578,141.92855834960938,627.1405639648438,183.37191772460938,591.030029296875,51.556007385253906,669.7424926757812,51.570228576660156,605.9943237304688,116.62812042236328,339.8664855957031
2024-01-11,54.810237884521484,148.02000427246094,492.2300109863281,157.73583984375,368.5603332519531,270.1805725097656,108.826904296875,36.1314697265625,382.539306640625,103.90531158447266,141.72906494140625,632.643798828125,183.43138122558594,597.489990234375,51.556007385253906,670.5587768554688,50.65593338012695,606.0043334960938,116.20619201660156,342.4647216796875
2024-01-12,54.69825744628906,146.55999755859375,492.1600036621094,161.27655029296875,373.3658142089844,270.7281494140625,109.58869934082031,36.76067352294922,386.3584289550781,105.72021484375,142.29763793945312,639.8089599609375,180.4672088623047,596.5399780273438,53.628807067871094,680.175537109375,51.1811637878418,609.0805053710938,116.40243530273438,350.6924743652344
2024-01-16,56.369903564453125,158.74000549316406,481.239990234375,162.4049072265625,366.35693359375,268.0002746582031,110.3089599609375,37.456607818603516,388.1486511230469,105.69046020507812,142.13804626464844,631.4993286132812,179.40646362304688,597.6799926757812,54.15678405761719,678.433349609375,50.45166778564453,601.1460571289062,116.26506805419922,348.9504699707031
2024-01-17,56.04097366333008,160.1699981689453,480.3299865722656,161.5489044189453,367.2641906738281,270.2403259277344,109.19197082519531,37.05620574951172,387.3529968261719,105.5516128540039,141.12057495117188,625.86669921875,179.4362030029297,596.0999755859375,53.63858413696289,681.1212768554688,49.95561599731445,597.1737670898438,115.91181945800781,349.3258056640625
2024-01-18,57.09474563598633,162.6699981689453,485.30999755859375,162.2881622314453,375.00091552734375,273.2469482421875,113.17313385009766,37.12294006347656,391.72906494140625,107.80287170410156,143.12559509277344,620.3336181640625,178.2366485595703,593.7000122070312,53.423484802246094,684.2272338867188,49.71245574951172,608.6425170898438,116.31413269042969,355.1536865234375
2024-01-19,59.47823715209961,174.22999572753906,482.95001220703125,166.8015594482422,382.2989501953125,279.6385803222656,119.83049011230469,37.494747161865234,396.5030212402344,108.7648696899414,146.01844787597656,625.5383911132812,181.5874481201172,611.5499877929688,54.2314338684082,691.8528442382812,50.111244201660156,619.4144287109375,116.65755462646484,359.45050048828125
2024-01-22,59.641204833984375,168.17999267578125,485.7099914550781,168.11474609375,380.63397216796875,279.0611267089844,120.75060272216797,37.73307418823242,394.354736328125,109.19132995605469,145.62940979003906,627.8272094726562,183.41156005859375,603.5900268554688,54.02452087402344,689.4039306640625,51.395145416259766,627.8070068359375,117.18741607666016,362.72003173828125
2024-01-23,59.86015701293945,168.4199981689453,492.19000244140625,169.19447326660156,384.0437316894531,275.5467529296875,121.32540130615234,40.25941467285156,396.7317199707031,110.90705108642578,146.6768035888672,626.6329956054688,183.8675994873047,597.1799926757812,54.004817962646484,684.5059814453125,51.84257125854492,632.9937744140625,117.58970642089844,365.3376159667969
2024-01-24,61.34883499145508,178.2899932861328,544.8699951171875,169.18472290039062,389.5271911621094,275.65625,124.05206298828125,39.3537483215332,400.371826171875,113.36658477783203,148.33270263671875,630.6336059570312,184.21456909179688,606.47998046875,54.10334396362305,683.4308471679688,51.80366134643555,633.3521728515625,116.64774322509766,364.38934326171875
2024-01-25,61.60377883911133,180.3300018310547,562.0,185.2345733642578,391.9997253417969,277.7967834472656,121.69046783447266,40.316619873046875,402.6692810058594,114.05088806152344,151.494873046875,624.5830078125,186.44512939453125,622.5800170898438,54.52703094482422,676.8504638671875,52.26081466674805,638.6386108398438,117.87427520751953,367.3922119140625
2024-01-26,61.017906188964844,177.25,570.4199829101562,182.3066864013672,392.95684814453125,278.7027282714844,119.2052230834961,40.421485900878906,401.7344055175781,113.69385528564453,151.8140869140625,636.1566772460938,199.689697265625,613.9299926757812,54.51717758178711,683.7991333007812,52.202449798583984,638.5091552734375,118.55131530761719,366.5328369140625
2024-01-29,62.45159912109375,177.8300018310547,575.7899780273438,182.0343475341797,399.8161926269531,286.5877380371094,120.48049926757812,40.08781433105469,407.492919921875,112.81119537353516,153.1308135986328,641.87890625,199.1246337890625,630.22998046875,55.07880401611328,690.897216796875,52.63042449951172,649.9779663085938,119.00267791748047,368.78497314453125
2024-01-30,62.760528564453125,172.05999755859375,562.8499755859375,182.74441528320312,398.8591003417969,286.45831298828125,119.52973175048828,40.48822021484375,406.36907958984375,113.21781921386719,151.0858917236328,641.8590087890625,202.3861846923828,627.9600219726562,55.21674728393555,697.596923828125,55.52893829345703,644.8408813476562,119.37554931640625,366.760009765625
